event_id,organizer_id,event_create_date,event_publish_date,event_start_date,event_currency,is_listed,event_paid_type,event_capacity,event_category,event_country
49933075,393675265,2014-01-03,2014-01-03,2014-02-18,USD,private,free event,140.0,,GB
49953175,152452315,2014-01-03,2014-01-07,2014-01-27,USD,private,free event,200.0,,US
49968625,343551745,2014-01-03,2014-01-03,2014-01-29,USD,public,paid event,26.0,Food & Drink,US
49977795,422359865,2014-01-03,2014-01-03,2014-02-14,GBP,public,free event,15.0,,
49980315,269424980,2014-01-03,2014-04-03,2014-04-12,USD,public,free event,100.0,Music,US
50018635,19262675,2014-01-05,2014-01-06,2014-04-11,AUD,public,paid event,550.0,,AU
50041425,357190,2014-01-05,2014-01-05,2014-01-23,GBP,public,paid event,163.0,,GB
50063415,137255855,2014-01-06,2014-01-06,2014-01-23,EUR,public,free event,15.0,,GB
50080505,228864095,2014-01-06,2014-01-06,2014-02-04,USD,private,free event,20.0,,US
50098165,54771105,2014-01-09,2014-01-09,2014-02-20,USD,public,paid event,25.0,,US
50107535,250310730,2014-01-16,2014-01-16,2014-01-30,USD,public,free event,50.0,,US
50129225,353830,2014-01-06,2014-02-08,2014-02-14,USD,public,paid event,1500.0,,US
50153755,6633840,2014-01-07,2014-01-07,2014-05-27,GBP,public,paid event,22.0,,GB
50167805,423553335,2014-01-07,2014-02-15,2014-02-19,USD,public,free event,65.0,Business & Professional,US
50196035,370951645,2014-01-07,2014-06-10,2014-06-24,USD,public,paid event,35.0,Music,US
50235845,62141665,2014-01-08,2014-01-08,2014-01-30,GBP,public,free event,1.0,,
50237955,279479515,2014-01-08,2014-01-08,2014-01-28,USD,public,free event,30.0,,GB
50327495,424589965,2014-01-09,2014-01-09,2014-02-14,USD,public,free event,100.0,,ID
50359955,415580,2014-01-09,2014-01-09,2014-02-18,USD,private,free event,1.0,,
50393935,105802680,2014-01-09,2014-01-09,2014-07-07,USD,public,paid event,17.0,Family & Education,US
50401475,289115355,2014-01-09,2014-01-09,2014-05-15,USD,public,free event,1000.0,Music,US
50406995,343605985,2014-01-09,2014-01-09,2014-02-28,USD,public,paid event,24.0,Sports & Fitness,US
50415455,131027595,2014-01-30,2014-02-05,2014-03-05,GBP,private,free event,60.0,,
50416295,17727305,2014-01-10,2014-01-10,2014-02-14,GBP,private,paid event,212.0,,GB
50427515,169220855,2014-01-10,2014-01-10,2014-01-28,USD,private,free event,30.0,,
50475515,22441915,2014-01-10,2014-01-10,2014-02-04,USD,public,paid event,30.0,,US
50502635,425876255,2014-01-11,2014-01-11,2014-02-23,USD,private,free event,200.0,,US
